ply,to_play,played,k,n_children,n_survivors,survivors,survivor_N,survivors_are_2,top2_N_equal,top2_N_diff,played_is_survivor,all_N
0,B,E3,4,4,4,F4 E3 D6 C5,4 4 4 4,False,,,True,F4:4 E3:4 D6:4 C5:4
1,W,F5,3,3,3,F5 D3 F3,6 5 5,False,,,True,F5:6 D3:5 F3:5
2,B,E6,5,5,5,E6 D6 F6 C6 G6,4 3 3 3 3,False,,,True,E6:4 D6:3 F6:3 C6:3 G6:3
3,W,D3,4,4,4,D3 F3 D7 F7,4 4 4 4,False,,,True,D3:4 F3:4 D7:4 F7:4
4,B,C4,5,5,5,C4 G5 C5 G4 C3,4 3 3 3 3,False,,,True,C4:4 G5:3 C5:3 G4:3 C3:3
5,W,F6,11,11,11,F6 D6 F3 C5 E2 C6 F2 B4 B5 D7 E7,2 2 2 2 2 1 1 1 1 1 1,False,,,True,F6:2 D6:2 F3:2 C5:2 E2:2 C6:1 F2:1 B4:1 B5:1 D7:1 E7:1
6,B,C5,9,9,9,C5 F4 C3 F3 E2 D2 G5 G4 G6,2 2 2 2 2 2 2 1 1,False,,,True,C5:2 F4:2 C3:2 F3:2 E2:2 D2:2 G5:2 G4:1 G6:1
7,W,C3,9,9,9,C3 F3 C6 E2 D6 B4 D7 E7 B5,2 2 2 2 2 2 2 1 1,False,,,True,C3:2 F3:2 C6:2 E2:2 D6:2 B4:2 D7:2 E7:1 B5:1
8,B,F4,9,9,9,F4 D2 E2 F3 G5 G4 C2 G6 B3,2 2 2 2 2 2 2 1 1,False,,,True,F4:2 D2:2 E2:2 F3:2 G5:2 G4:2 C2:2 G6:1 B3:1
9,W,D6,8,8,8,D6 G3 F3 D7 E7 E2 C6 B5,2 2 2 2 2 2 2 2,False,,,True,D6:2 G3:2 F3:2 D7:2 E7:2 E2:2 C6:2 B5:2
10,B,C6,9,9,9,C6 E2 G5 G6 C7 E7 B3 C2 F7,2 2 2 2 2 2 2 1 1,False,,,True,C6:2 E2:2 G5:2 G6:2 C7:2 E7:2 B3:2 C2:1 F7:1
11,W,G3,10,10,10,B3 B5 F2 E2 G4 G3 B4 F3 B6 C7,2 2 2 2 2 2 1 1 1 1,False,,,True,B3:2 B5:2 F2:2 E2:2 G4:2 G3:2 B4:1 F3:1 B6:1 C7:1
12,B,D2,10,10,10,D2 E2 G4 D7 G5 F7 E7 B3 C2 G6,2 2 2 2 2 2 1 1 1 1,False,,,True,D2:2 E2:2 G4:2 D7:2 G5:2 F7:2 E7:1 B3:1 C2:1 G6:1
13,W,B5,11,11,11,B5 B3 F3 B6 E2 B4 C2 C1 E1 C7 D1,2 2 2 2 2 1 1 1 1 1 1,False,,,True,B5:2 B3:2 F3:2 B6:2 E2:2 B4:1 C2:1 C1:1 E1:1 C7:1 D1:1
14,B,D7,14,14,14,G4 D7 B6 C2 A6 B4 B3 G5 E7 F7 A4 G6 G7 B2,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,G4:2 D7:2 B6:1 C2:1 A6:1 B4:1 B3:1 G5:1 E7:1 F7:1 A4:1 G6:1 G7:1 B2:1
15,W,B3,13,13,13,E7 B3 B4 C8 B6 F3 F2 C7 C2 E2 C1 E1 E8,2 2 2 1 1 1 1 1 1 1 1 1 1,False,,,True,E7:2 B3:2 B4:2 C8:1 B6:1 F3:1 F2:1 C7:1 C2:1 E2:1 C1:1 E1:1 E8:1
16,B,E7,13,13,13,B6 E7 G5 B4 G4 A6 A4 C2 A3 G6 H2 B2 G7,2 2 2 1 1 1 1 1 1 1 1 1 1,False,,,True,B6:2 E7:2 G5:2 B4:1 G4:1 A6:1 A4:1 C2:1 A3:1 G6:1 H2:1 B2:1 G7:1
17,W,E2,15,15,15,F7 E2 C2 F8 C7 F3 F2 C8 E1 C1 B6 E8 D8 D1 B7,2 1 1 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,F7:2 E2:1 C2:1 F8:1 C7:1 F3:1 F2:1 C8:1 E1:1 C1:1 B6:1 E8:1 D8:1 D1:1 B7:1
18,B,G4,15,15,15,G4 B6 G6 F2 B4 C2 E1 G5 A4 A3 A5 H2 B2 A2 G7,2 1 1 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,G4:2 B6:1 G6:1 F2:1 B4:1 C2:1 E1:1 G5:1 A4:1 A3:1 A5:1 H2:1 B2:1 A2:1 G7:1
19,W,F2,15,15,15,F7 G6 F2 F3 F8 C7 C2 G5 B6 E1 D1 H4 E8 D8 B7,2 1 1 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,F7:2 G6:1 F2:1 F3:1 F8:1 C7:1 C2:1 G5:1 B6:1 E1:1 D1:1 H4:1 E8:1 D8:1 B7:1
20,B,F7,13,13,13,F7 G6 G5 B4 C2 A4 E1 A5 H2 G2 A2 B2 G7,2 2 2 1 1 1 1 1 1 1 1 1 1,False,,,True,F7:2 G6:2 G5:2 B4:1 C2:1 A4:1 E1:1 A5:1 H2:1 G2:1 A2:1 B2:1 G7:1
21,W,F3,15,15,15,F3 C2 C1 C7 G6 E1 F8 H4 D1 G5 D8 E8 B7 G8 G7,2 1 1 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,F3:2 C2:1 C1:1 C7:1 G6:1 E1:1 F8:1 H4:1 D1:1 G5:1 D8:1 E8:1 B7:1 G8:1 G7:1
22,B,E1,11,11,11,E1 F1 D1 B4 C2 A4 A5 H2 B2 A2 G2,2 2 2 2 2 1 1 1 1 1 1,False,,,True,E1:2 F1:2 D1:2 B4:2 C2:2 A4:1 A5:1 H2:1 B2:1 A2:1 G2:1
23,W,F1,14,14,14,F1 H5 C7 G6 H4 G5 C2 D8 D1 F8 E8 B7 G7 G8,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,F1:2 H5:2 C7:1 G6:1 H4:1 G5:1 C2:1 D8:1 D1:1 F8:1 E8:1 B7:1 G7:1 G8:1
24,B,D1,14,14,14,D1 H3 B6 C2 B4 A4 A3 G1 H4 A5 H2 B2 A2 G2,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,D1:2 H3:2 B6:1 C2:1 B4:1 A4:1 A3:1 G1:1 H4:1 A5:1 H2:1 B2:1 A2:1 G2:1
25,W,C1,13,13,13,C1 C7 C2 G6 H4 G5 F8 D8 G2 E8 B7 G8 G7,2 2 2 1 1 1 1 1 1 1 1 1 1,False,,,True,C1:2 C7:2 C2:2 G6:1 H4:1 G5:1 F8:1 D8:1 G2:1 E8:1 B7:1 G8:1 G7:1
26,B,B6,13,13,13,B6 H3 B4 A4 A3 C2 A5 A6 H2 B2 G2 A2 G1,2 2 2 1 1 1 1 1 1 1 1 1 1,False,,,True,B6:2 H3:2 B4:2 A4:1 A3:1 C2:1 A5:1 A6:1 H2:1 B2:1 G2:1 A2:1 G1:1
27,W,C2,14,14,14,C2 G6 H4 C7 H5 D8 G5 F8 E8 G2 G8 A7 G7 B7,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,C2:2 G6:2 H4:1 C7:1 H5:1 D8:1 G5:1 F8:1 E8:1 G2:1 G8:1 A7:1 G7:1 B7:1
28,B,A4,11,11,11,H3 A5 A3 A4 B4 B2 G2 H2 A2 G1 B1,2 2 2 2 2 1 1 1 1 1 1,False,,,True,H3:2 A5:2 A3:2 A4:2 B4:2 B2:1 G2:1 H2:1 A2:1 G1:1 B1:1
29,W,A6,15,15,15,A6 H4 G6 A5 H5 C7 G5 D8 G2 F8 E8 B7 A7 G8 G7,2 1 1 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,A6:2 H4:1 G6:1 A5:1 H5:1 C7:1 G5:1 D8:1 G2:1 F8:1 E8:1 B7:1 A7:1 G8:1 G7:1
30,B,A3,10,10,10,A5 H3 A3 B4 B2 G2 A2 H2 G1 B1,2 2 2 2 2 2 1 1 1 1,False,,,True,A5:2 H3:2 A3:2 B4:2 B2:2 G2:2 A2:1 H2:1 G1:1 B1:1
31,W,B4,14,14,14,B4 C7 H4 H5 G6 D8 G5 F8 A7 E8 G2 G8 A2 B7,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,B4:2 C7:2 H4:1 H5:1 G6:1 D8:1 G5:1 F8:1 A7:1 E8:1 G2:1 G8:1 A2:1 B7:1
32,B,H3,7,7,7,A5 H3 B2 G2 H2 B1 G1,3 3 2 2 2 2 2,False,,,True,A5:3 H3:3 B2:2 G2:2 H2:2 B1:2 G1:2
33,W,C7,15,15,15,C7 G5 G6 D8 H5 A7 H4 F8 E8 G2 G7 G8 A2 B7 B2,2 1 1 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,C7:2 G5:1 G6:1 D8:1 H5:1 A7:1 H4:1 F8:1 E8:1 G2:1 G7:1 G8:1 A2:1 B7:1 B2:1
34,B,D8,7,7,7,A5 D8 B2 B8 B7 B1 G1,3 3 2 2 2 2 2,False,,,True,A5:3 D8:3 B2:2 B8:2 B7:2 B1:2 G1:2
35,W,C8,14,14,14,C8 G5 G6 F8 H5 E8 H4 A7 G2 B7 G7 A2 G8 B2,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,C8:2 G5:2 G6:1 F8:1 H5:1 E8:1 H4:1 A7:1 G2:1 B7:1 G7:1 A2:1 G8:1 B2:1
36,B,A5,6,6,6,A5 B2 B8 B7 B1 G1,3 3 3 3 2 2,False,,,True,A5:3 B2:3 B8:3 B7:3 B1:2 G1:2
37,W,A2,14,14,14,A2 G5 E8 G6 H5 G2 F8 H4 B7 A7 G7 H2 G8 B2,2 2 1 1 1 1 1 1 1 1 1 1 1 1,False,,,True,A2:2 G5:2 E8:1 G6:1 H5:1 G2:1 F8:1 H4:1 B7:1 A7:1 G7:1 H2:1 G8:1 B2:1
38,B,B2,5,5,5,B2 B7 B8 B1 G1,4 3 3 3 3,False,,,True,B2:4 B7:3 B8:3 B1:3 G1:3
39,W,G5,11,11,11,G5 E8 A7 G2 G6 H5 H4 F8 H2 G7 G8,2 2 2 2 2 1 1 1 1 1 1,False,,,True,G5:2 E8:2 A7:2 G2:2 G6:2 H5:1 H4:1 F8:1 H2:1 G7:1 G8:1
40,B,H4,7,7,7,G6 H4 B7 B8 G2 B1 G1,3 3 2 2 2 2 2,False,,,True,G6:3 H4:3 B7:2 B8:2 G2:2 B1:2 G1:2
