ply,to_play,played,k,n_children,n_survivors,survivors,survivor_N,survivors_are_2,top2_N_equal,top2_N_diff,played_is_survivor,all_N
41,W,H6,13,13,13,G6 H6 A1 A7 E8 G2 H5 F8 B1 H2 B7 G8 G7,2 2 2 1 1 1 1 1 1 1 1 1 1,False,,,True,G6:2 H6:2 A1:2 A7:1 E8:1 G2:1 H5:1 F8:1 B1:1 H2:1 B7:1 G8:1 G7:1
42,B,B8,6,6,6,G6 B7 B8 G2 B1 G1,3 3 3 3 2 2,False,,,True,G6:3 B7:3 B8:3 G2:3 B1:2 G1:2
43,W,A7,12,12,12,H5 G6 A1 A7 F8 E8 G2 G8 B7 B1 G7 H2,2 2 2 2 1 1 1 1 1 1 1 1,False,,,True,H5:2 G6:2 A1:2 A7:2 F8:1 E8:1 G2:1 G8:1 B7:1 B1:1 G7:1 H2:1
44,B,G6,5,5,5,G6 B7 G2 B1 G1,4 3 3 3 3,False,,,True,G6:4 B7:3 G2:3 B1:3 G1:3
45,W,G2,10,10,10,G2 A1 F8 H5 E8 G7 G8 H7 H2 B1,2 2 2 2 2 2 1 1 1 1,False,,,True,G2:2 A1:2 F8:2 H5:2 E8:2 G7:2 G8:1 H7:1 H2:1 B1:1
46,B,H2,4,4,4,B7 H2 B1 G1,4 4 4 4,False,,,True,B7:4 H2:4 B1:4 G1:4
47,W,G1,10,10,10,G1 A1 H5 F8 H1 E8 G8 G7 H7 B1,2 2 2 2 2 2 1 1 1 1,False,,,True,G1:2 A1:2 H5:2 F8:2 H1:2 E8:2 G8:1 G7:1 H7:1 B1:1
48,B,Resign,1,1,1,B7,16,False,,,False,B7:16
49,W,E8,6,6,6,H5 E8 F8 A1 G8 G7,3 3 3 3 2 2,False,,,True,H5:3 E8:3 F8:3 A1:3 G8:2 G7:2
50,B,Resign,1,1,1,F8,16,False,,,False,F8:16
51,W,A8,7,7,7,A8 H1 H5 A1 G8 G7 B1,3 3 2 2 2 2 2,False,,,True,A8:3 H1:3 H5:2 A1:2 G8:2 G7:2 B1:2
52,B,Resign,0,1,1,PASS,16,False,,,False,PASS:16
53,W,H1,6,6,6,H1 G8 H5 A1 G7 B1,3 3 3 3 2 2,False,,,True,H1:3 G8:3 H5:3 A1:3 G7:2 B1:2
54,B,Resign,0,1,1,PASS,16,False,,,False,PASS:16
55,W,H5,6,6,6,H5 G8 H7 A1 B1 G7,3 3 3 3 2 2,False,,,True,H5:3 G8:3 H7:3 A1:3 B1:2 G7:2
56,B,Resign,0,1,1,PASS,16,False,,,False,PASS:16
57,W,G8,5,5,5,G8 H7 A1 B1 G7,4 3 3 3 3,False,,,True,G8:4 H7:3 A1:3 B1:3 G7:3
58,B,Resign,1,1,1,G7,16,False,,,False,G7:16
59,W,H8,4,4,4,H8 A1 B1 H7,4 4 4 4,False,,,True,H8:4 A1:4 B1:4 H7:4
60,B,Resign,1,1,1,H7,16,False,,,False,H7:16
61,W,B1,2,2,2,B1 A1,8 8,True,True,0,True,B1:8 A1:8
62,B,Resign,1,1,1,A1,16,False,,,False,A1:16
63,W,PASS,0,1,1,PASS,16,False,,,True,PASS:16
