ply,to_play,played,k,n_children,n_survivors,survivors,survivor_N,survivors_are_2,top2_N_equal,top2_N_diff,played_is_survivor,all_N
39,W,B4,8,8,2,B4 A3,38 38,True,True,0,True,B4:38 A3:38 G2:14 A2:14 H4:6 H2:6 G1:6 B2:6
40,B,A5,11,11,2,A5 B6,35 35,True,True,0,True,A5:35 B6:35 H4:14 A3:14 A4:6 B5:6 B2:6 B7:6 G2:2 G7:2 B8:2
41,W,A4,8,8,2,A4 A3,38 38,True,True,0,True,A4:38 A3:38 H4:14 G2:14 H2:6 A2:6 G1:6 B2:6
42,B,B6,8,8,2,A3 B6,38 38,True,True,0,True,A3:38 B6:38 H4:14 B7:14 B5:6 G2:6 G7:6 B8:6
43,W,A6,11,11,2,B5 A6,35 35,True,True,0,True,B5:35 A6:35 A3:14 H2:14 H4:6 A2:6 G2:6 A7:6 B7:2 G1:2 B2:2
44,B,B5,8,8,2,A3 B5,38 38,True,True,0,True,A3:38 B5:38 H4:14 G7:14 B7:6 G2:6 A7:6 B8:6
45,W,G2,7,7,2,A3 G2,41 41,True,True,0,True,A3:41 G2:41 H2:14 G1:14 H4:6 A2:6 B2:6
46,B,G7,8,8,2,H1 G7,38 38,True,True,0,True,H1:38 G7:38 B7:14 A7:14 H4:6 H2:6 B8:6 G1:6
47,W,A3,4,4,2,H4 A3,50 50,True,True,0,True,H4:50 A3:50 A2:14 B2:14
48,B,B2,9,9,2,B2 H1,37 37,True,True,0,True,B2:37 H1:37 B8:14 B7:14 H4:6 H2:6 A7:6 A2:6 G1:2
49,W,H4,2,2,2,H4 A2,64 64,True,True,0,True,H4:64 A2:64
50,B,H8,7,7,2,H8 H1,41 41,True,True,0,True,H8:41 H1:41 G1:14 B7:14 B8:6 H2:6 A7:6
51,W,A1,2,2,2,A1 A2,64 64,True,True,0,True,A1:64 A2:64
52,B,A2,6,6,2,A2 H1,44 44,True,True,0,True,A2:44 H1:44 H2:14 G1:14 B8:6 B7:6
53,W,G1,1,1,1,G1,128,False,,,True,G1:128
54,B,H2,5,5,2,B8 H2,47 47,True,True,0,True,B8:47 H2:47 B7:14 H1:14 A7:6
55,W,Resign,1,1,1,H1,128,False,,,False,H1:128
56,B,B8,3,3,2,B8 B7,57 57,True,True,0,True,B8:57 B7:57 A7:14
57,W,Resign,1,1,1,B7,128,False,,,False,B7:128
58,B,A7,2,2,2,A7 A8,64 64,True,True,0,True,A7:64 A8:64
59,W,Resign,1,1,1,A8,128,False,,,False,A8:128
60,B,PASS,0,1,1,PASS,128,False,,,True,PASS:128
61,W,Resign,0,1,1,PASS,128,False,,,False,PASS:128
62,W,PASS,0,1,1,PASS,128,False,,,True,PASS:128
63,W,PASS,0,1,1,PASS,128,False,,,True,PASS:128
