ply,to_play,played,k,n_children,n_survivors,survivors,survivor_N,survivors_are_2,top2_N_equal,top2_N_diff,played_is_survivor,all_N
0,B,F4,4,4,2,F4 E3,50 50,True,True,0,True,F4:50 E3:50 D6:14 C5:14
1,W,D3,3,3,2,D3 F5,57 57,True,True,0,True,D3:57 F5:57 F3:14
2,B,C4,5,5,2,C4 C5,47 47,True,True,0,True,C4:47 C5:47 C3:14 C6:14 C2:6
3,W,F5,4,4,2,F5 B5,50 50,True,True,0,True,F5:50 B5:50 F3:14 B3:14
4,B,E6,5,5,2,E6 D6,47 47,True,True,0,True,E6:47 D6:47 D2:14 F6:14 E2:6
5,W,C5,11,11,2,C5 F3,35 35,True,True,0,True,C5:35 F3:35 C3:14 D6:14 G4:6 C6:6 G3:6 E7:6 D7:2 B5:2 B4:2
6,B,E3,8,8,2,E3 D6,38 38,True,True,0,True,E3:38 D6:38 C6:14 F6:14 G4:6 D2:6 E2:6 B6:6
7,W,C3,7,7,2,C3 B5,41 41,True,True,0,True,C3:41 B5:41 F3:14 D7:14 F2:6 B3:6 F7:6
8,B,D6,13,13,2,D6 G4,33 33,True,True,0,True,D6:33 G4:33 F6:14 C6:14 D2:6 B4:6 G5:6 C2:6 G6:2 B5:2 B6:2 B3:2 B2:2
9,W,F6,7,7,2,F6 F3,41 41,True,True,0,True,F6:41 F3:41 G4:14 E7:14 F2:6 F7:6 D7:6
10,B,G5,10,10,2,G5 B5,36 36,True,True,0,True,G5:36 B5:36 G4:14 D2:14 C2:6 B6:6 B4:6 G6:6 F7:2 B3:2
11,W,E7,10,10,2,E7 D7,36 36,True,True,0,True,E7:36 D7:36 C6:14 F7:14 G4:6 F2:6 G6:6 F3:6 H4:2 H5:2
12,B,D2,15,15,2,D2 D7,31 31,True,True,0,True,D2:31 D7:31 C6:14 G6:14 B4:6 F7:6 C7:6 C2:6 B5:2 B6:2 E8:2 D8:2 B3:2 B2:2 G7:2
13,W,G3,10,10,2,F2 G3,36 36,True,True,0,True,F2:36 G3:36 F7:14 E2:14 G4:6 H4:6 E1:6 F3:6 H5:2 D1:2
14,B,G4,14,14,2,G4 D7,32 32,True,True,0,True,G4:32 D7:32 F3:14 G6:14 C6:6 F7:6 B4:6 B6:6 B5:2 B3:2 E8:2 D8:2 G7:2 B2:2
15,W,F2,9,9,2,F2 F3,37 37,True,True,0,True,F2:37 F3:37 F7:14 H5:14 E2:6 E1:6 G6:6 D1:6 H4:2
16,B,F3,14,14,2,F3 E2,32 32,True,True,0,True,F3:32 E2:32 C6:14 G6:14 D7:6 F7:6 B4:6 C7:6 B5:2 B3:2 E8:2 D8:2 H2:2 G2:2
17,W,E2,7,7,2,E2 F7,41 41,True,True,0,True,E2:41 F7:41 E1:14 H5:14 H4:6 D1:6 G6:6
18,B,G6,17,16,2,G6 C2,30 30,True,True,0,True,G6:30 C2:30 C6:14 D7:14 F7:6 C7:6 B4:6 E1:6 H3:2 F1:2 B5:2 D1:2 E8:2 B3:2 D8:2 H2:2
19,W,C6,12,12,2,C6 C1,34 34,True,True,0,True,C6:34 C1:34 C2:14 E1:14 F7:6 H4:6 D1:6 H5:6 H6:2 G2:2 H7:2 G7:2
20,B,C2,17,16,2,C2 E1,30 30,True,True,0,True,C2:30 E1:30 H3:14 F1:14 D1:6 C7:6 D7:6 B5:6 D8:2 E8:2 B4:2 B3:2 B6:2 H2:2 B7:2 B2:2
21,W,E1,10,10,2,E1 D1,36 36,True,True,0,True,E1:36 D1:36 F7:14 H5:14 H6:6 H4:6 C1:6 G2:6 B2:2 G7:2
22,B,H3,16,16,2,H3 C1,30 30,True,True,0,True,H3:30 C1:30 D7:14 B4:14 F1:6 D8:6 B3:6 B5:6 C7:2 E8:2 D1:2 B6:2 H2:2 B7:2 B2:2 G2:2
23,W,C1,9,9,2,C1 H6,37 37,True,True,0,True,C1:37 H6:37 F7:14 H5:14 G2:6 H4:6 G7:6 B2:6 H2:2
24,B,F1,13,13,2,F1 D7,33 33,True,True,0,True,F1:33 D7:33 B4:14 E8:14 C7:6 D8:6 B3:6 B5:6 D1:2 B6:2 B2:2 B1:2 B7:2
25,W,H5,9,9,2,F7 H5,37 37,True,True,0,True,F7:37 H5:37 H6:14 H4:14 G1:6 G2:6 H7:6 G7:6 H2:2
26,B,C7,14,14,2,C7 H6,32 32,True,True,0,True,C7:32 H6:32 H4:14 B5:14 D1:6 D7:6 D8:6 B4:6 E8:2 B3:2 B6:2 B1:2 B7:2 B2:2
27,W,D1,10,10,2,D7 D1,36 36,True,True,0,True,D7:36 D1:36 F7:14 H6:14 H4:6 C8:6 G1:6 H7:6 G7:2 G2:2
28,B,H6,13,13,2,F8 H6,33 33,True,True,0,True,F8:33 H6:33 B6:14 D8:14 E8:6 B5:6 B3:6 B4:6 H4:2 B1:2 G2:2 B2:2 B7:2
29,W,C8,8,8,2,H4 C8,38 38,True,True,0,True,H4:38 C8:38 D7:14 G1:14 F7:6 H7:6 G2:6 G7:6
30,B,F8,13,13,2,F8 E8,33 33,True,True,0,True,F8:33 E8:33 B3:14 B4:14 H4:6 D8:6 B6:6 B5:6 B1:2 G2:2 B2:2 B8:2 B7:2
31,W,D7,9,9,2,D7 E8,37 37,True,True,0,True,D7:37 E8:37 H4:14 G1:14 H7:6 F7:6 G7:6 H2:6 G2:2
32,B,D8,11,11,2,H4 D8,35 35,True,True,0,True,H4:35 D8:35 B5:14 B4:14 B1:6 B3:6 B6:6 G2:6 B2:2 B8:2 B7:2
33,W,H7,8,8,2,E8 H7,38 38,True,True,0,True,E8:38 H7:38 H4:14 G1:14 F7:6 G7:6 G2:6 H2:6
34,B,B1,12,12,2,H4 B1,34 34,True,True,0,True,H4:34 B1:34 F7:14 B4:14 B3:6 B5:6 B6:6 B8:6 G2:2 G7:2 B2:2 B7:2
35,W,E8,7,7,2,E8 F7,41 41,True,True,0,True,E8:41 F7:41 G7:14 G2:14 H2:6 B2:6 G1:6
36,B,F7,11,11,2,F7 B8,35 35,True,True,0,True,F7:35 B8:35 H4:14 B3:14 B5:6 B6:6 B4:6 B7:6 G2:2 G7:2 B2:2
37,W,G8,7,7,2,G8 G7,41 41,True,True,0,True,G8:41 G7:41 H4:14 G2:14 H2:6 B2:6 G1:6
38,B,B3,10,10,2,B3 H4,36 36,True,True,0,True,B3:36 H4:36 B5:14 B6:14 B4:6 B7:6 G2:6 B2:6 G7:2 B8:2
