ply,to_play,played,k,n_children,n_survivors,survivors,survivor_N,survivors_are_2,top2_N_equal,top2_N_diff,played_is_survivor,all_N
46,B,G2,8,8,2,A1 G2,8 8,True,True,0,True,A1:8 G2:8 D8:4 C8:4 H4:2 B8:2 B1:2 B7:2
47,W,H1,8,8,2,D8 H1,8 8,True,True,0,True,D8:8 H1:8 H4:4 A5:4 B1:2 B7:2 A7:2 G1:2
48,B,H4,8,8,2,H4 G1,8 8,True,True,0,True,H4:8 G1:8 A1:4 D8:4 C8:2 B8:2 B1:2 B7:2
49,W,G1,6,6,2,G1 A5,10 10,True,True,0,True,G1:10 A5:10 D8:4 B1:4 B7:2 A7:2
50,B,C8,7,7,2,A1 C8,9 9,True,True,0,True,A1:9 C8:9 H8:4 D8:4 B8:2 B1:2 B7:2
51,W,B1,6,6,2,D8 B1,10 10,True,True,0,True,D8:10 B1:10 A5:4 B8:4 B7:2 A7:2
52,B,H8,2,2,2,H8 A1,16 16,True,True,0,True,H8:16 A1:16
53,W,D8,5,5,2,D8 A5,11 11,True,True,0,True,D8:11 A5:11 B8:4 A7:4 B7:2
54,B,A1,1,1,1,A1,32,False,,,True,A1:32
55,W,A7,4,4,2,A5 A7,12 12,True,True,0,True,A5:12 A7:12 B7:4 B8:4
56,B,A5,3,3,2,A5 A8,14 14,True,True,0,True,A5:14 A8:14 B7:4
57,W,B7,2,2,2,B7 B8,16 16,True,True,0,True,B7:16 B8:16
58,B,Resign,2,2,2,A8 B8,16 16,True,True,0,False,A8:16 B8:16
59,W,B8,1,1,1,B8,32,False,,,True,B8:32
60,B,Resign,0,1,1,PASS,32,False,,,False,PASS:32
61,W,PASS,0,1,1,PASS,32,False,,,True,PASS:32
62,W,PASS,0,1,1,PASS,32,False,,,True,PASS:32
63,W,PASS,0,1,1,PASS,32,False,,,True,PASS:32
